                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3209,                 3.5192,                 3.7534,                0.00564,                0.56296,                0.02025,                0.00482,                  2.864,                 3.6828,                 3.4689,             0.00066471,             0.00066471,             0.00066471
                      2,                 2.7584,                 3.1976,                 2.9549,                0.02512,                0.03407,                0.01119,                0.00329,                 2.5966,                 3.9911,                 3.0814,              0.0013182,              0.0013182,              0.0013182
                      3,                 2.4595,                 2.9032,                  2.543,                0.20036,                0.28731,                0.09683,                0.03419,                 2.3289,                 3.4519,                 2.7555,              0.0019585,              0.0019585,              0.0019585
                      4,                 2.2739,                 2.6646,                 2.3216,                0.21456,                0.29778,                0.12301,                0.04636,                 2.0405,                 2.8106,                 2.4418,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1787,                 2.5237,                 2.1938,                0.33751,                0.30265,                0.23932,                0.10985,                 1.9911,                 2.7071,                 2.3953,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.0965,                 2.4177,                 2.1099,                0.34855,                0.33037,                0.23628,                 0.1031,                 1.9707,                 2.5616,                 2.3411,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.0451,                  2.334,                 2.0323,                0.39884,                0.28307,                0.24276,                0.10824,                 1.9516,                 2.5875,                 2.2889,               0.001901,               0.001901,               0.001901
                      8,                 1.9975,                 2.2722,                 1.9886,                0.38919,                   0.32,                0.27209,                0.13161,                 1.8466,                 2.7682,                 2.1729,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.9492,                 2.2341,                 1.9649,                0.39604,                0.34074,                0.27587,                0.13351,                 1.8412,                 2.5594,                 2.1753,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.9226,                   2.16,                 1.9216,                0.46116,                 0.3715,                0.32015,                0.15908,                 1.7732,                 2.2512,                  2.118,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.8952,                 2.1226,                 1.8946,                 0.3918,                0.38667,                0.30501,                0.15753,                 1.7152,                 2.2476,                 2.0714,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.8546,                 2.0701,                 1.8655,                0.35306,                0.34963,                0.25984,                0.13793,                 1.6986,                 2.4213,                 2.0153,               0.001802,               0.001802,               0.001802
                     13,                 1.8195,                 2.0078,                 1.8319,                0.39619,                 0.3437,                0.30623,                0.15777,                 1.6723,                 2.3288,                 1.9969,              0.0017822,              0.0017822,              0.0017822
