                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.7327,                 1.8598,                 1.7585,                0.42916,                  0.421,                 0.3652,                 0.2048,                 1.5847,                 2.1125,                  1.865,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7256,                 1.8443,                 1.7398,                0.42923,                0.43115,                0.38479,                0.21924,                   1.54,                 1.9746,                 1.8491,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7121,                 1.8063,                 1.7289,                0.53392,                0.41185,                0.41388,                0.24414,                 1.5108,                 2.0791,                 1.8061,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.7026,                 1.7966,                 1.7132,                0.52014,                0.42222,                0.42124,                0.23957,                 1.5329,                 1.9798,                 1.8159,               0.001208,               0.001208,               0.001208
                     23,                 1.6861,                 1.7676,                 1.6936,                0.48195,                0.39852,                0.37872,                0.22544,                 1.4851,                 2.0419,                 1.7839,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.6786,                 1.7571,                 1.6942,                 0.5414,                0.44296,                0.43078,                0.26443,                 1.4821,                 1.9196,                  1.775,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.6789,                 1.7553,                 1.6884,                0.46595,                0.42519,                0.39568,                 0.2389,                 1.4604,                 2.0932,                 1.7534,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.6577,                 1.7383,                 1.6854,                0.47916,                0.44444,                0.39038,                0.22174,                 1.4997,                 2.1191,                 1.7889,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.6585,                  1.719,                 1.6907,                0.55615,                0.42667,                0.44794,                0.27661,                 1.3953,                 1.9313,                 1.7248,                0.00101,                0.00101,                0.00101
                     28,                 1.6569,                 1.6959,                 1.6736,                0.56518,                0.43111,                0.44159,                0.26307,                 1.4468,                 1.8699,                  1.742,              0.0009704,              0.0009704,              0.0009704
                     29,                  1.626,                  1.672,                 1.6529,                0.51864,                0.44741,                0.42175,                0.26089,                 1.4274,                 1.9366,                 1.7094,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.6124,                 1.6596,                 1.6565,                0.50077,                0.41758,                0.37718,                0.22195,                 1.4326,                 1.9497,                 1.7239,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.6208,                 1.6538,                  1.646,                0.59776,                0.45573,                0.45692,                0.28134,                 1.3975,                 1.8244,                 1.6847,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.6116,                  1.653,                 1.6485,                0.58478,                 0.4563,                0.46507,                0.29536,                 1.3718,                 1.8076,                 1.6587,               0.000812,               0.000812,               0.000812
                     33,                 1.6002,                 1.6316,                 1.6416,                  0.497,                0.48741,                0.43945,                0.27629,                 1.4114,                  1.914,                 1.7051,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.6006,                 1.6119,                  1.635,                0.53034,                0.48593,                0.46661,                0.29465,                 1.3842,                 1.8796,                 1.6697,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.6049,                 1.6068,                 1.6312,                0.58724,                0.45105,                0.45688,                0.29661,                 1.3341,                 1.8223,                 1.6316,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5899,                 1.5925,                 1.6171,                0.56663,                0.46519,                0.46647,                0.29547,                 1.3671,                 1.8097,                 1.6623,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5762,                 1.5785,                 1.6125,                0.56105,                0.46014,                0.45955,                0.29583,                 1.3712,                 1.8227,                 1.6442,               0.000614,               0.000614,               0.000614
                     38,                 1.5735,                 1.5772,                 1.6005,                0.54895,                0.46815,                0.45057,                0.28702,                 1.3705,                 1.8815,                  1.655,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5668,                 1.5645,                 1.6107,                0.52366,                0.45439,                0.42696,                0.28017,                 1.3343,                 1.9084,                 1.6119,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5596,                 1.5481,                 1.5977,                0.54063,                0.48741,                0.47436,                0.30509,                 1.3501,                 1.7772,                 1.6183,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5648,                 1.5299,                 1.6278,                0.56944,                0.43704,                0.44776,                0.29013,                 1.3623,                 1.8047,                  1.631,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.5415,                 1.4773,                 1.5907,                0.58635,                  0.462,                 0.4708,                0.30497,                 1.3292,                  1.776,                 1.6062,               0.000416,               0.000416,               0.000416
                     43,                 1.5325,                 1.4633,                 1.5895,                0.58941,                0.47111,                0.48162,                0.32056,                 1.2978,                 1.6925,                 1.5815,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5206,                 1.4483,                 1.5868,                0.57184,                0.47685,                0.48449,                0.31946,                 1.2795,                 1.6734,                 1.5664,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.5173,                  1.441,                 1.5755,                0.58472,                0.46519,                 0.4627,                0.30385,                 1.2997,                 1.7665,                 1.5822,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.5153,                 1.4197,                 1.5682,                0.56068,                0.46074,                0.46457,                0.30766,                 1.3139,                 1.7785,                 1.5838,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.5023,                 1.4119,                 1.5647,                0.62848,                0.47111,                0.50436,                0.33502,                 1.2857,                  1.627,                 1.5702,               0.000218,               0.000218,               0.000218
                     48,                 1.4915,                 1.3989,                 1.5604,                0.61939,                0.46815,                0.48119,                0.31572,                 1.2825,                 1.7354,                 1.5623,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4905,                 1.3887,                 1.5474,                   0.61,                0.46815,                0.48503,                0.32192,                 1.2707,                  1.684,                 1.5467,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4776,                 1.3842,                 1.5432,                0.59555,                0.47121,                0.48616,                 0.3259,                 1.2687,                 1.7272,                 1.5502,               9.92e-05,               9.92e-05,               9.92e-05
