                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3209,                 3.5192,                 3.7534,                0.00564,                0.56296,                0.02025,                0.00482,                  2.864,                 3.6828,                 3.4689,             0.00066471,             0.00066471,             0.00066471
                      2,                 2.7534,                 3.2042,                 2.9441,                0.03269,                0.05333,                0.01757,                0.00571,                  2.476,                 3.9983,                 2.9488,               0.001305,               0.001305,               0.001305
                      3,                  2.462,                 2.8902,                 2.5172,                0.09373,                0.19111,                 0.0445,                0.01507,                  2.342,                 3.3534,                 2.6965,              0.0019189,              0.0019189,              0.0019189
                      4,                 2.2651,                 2.6543,                 2.3005,                0.27966,                0.28296,                0.17287,                0.06392,                 2.1864,                 2.7445,                 2.5463,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1823,                 2.5233,                 2.1878,                0.44726,                0.30689,                0.29048,                 0.1267,                 2.0214,                 2.5284,                 2.4329,              0.0018812,              0.0018812,              0.0018812
                      6,                  2.093,                 2.4104,                 2.1009,                0.34845,                0.34667,                0.23611,                0.10107,                 1.9583,                 2.5091,                 2.3348,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.0497,                 2.3286,                 2.0348,                0.31769,                0.31556,                0.20698,                0.09083,                 1.9356,                 2.5677,                 2.2917,               0.001802,               0.001802,               0.001802
                      8,                 1.9996,                 2.2653,                 1.9833,                0.37702,                   0.36,                0.27322,                0.13464,                 1.8239,                 2.5194,                 2.1651,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.9482,                 2.2281,                 1.9599,                0.40319,                0.36741,                0.29631,                0.14801,                 1.7996,                 2.4889,                 2.1352,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.9245,                 2.1693,                 1.9246,                 0.4281,                0.35155,                0.31176,                0.15075,                 1.8325,                 2.3053,                 2.1716,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.8987,                 2.1235,                 1.8987,                0.42348,                0.38087,                0.29761,                0.14655,                 1.6842,                  2.198,                 2.0469,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.8516,                 2.0743,                 1.8675,                0.33769,                0.39407,                0.26198,                0.13057,                 1.7173,                 2.2702,                 2.0364,               0.001604,               0.001604,               0.001604
                     13,                 1.8255,                 2.0174,                  1.834,                0.42608,                0.37506,                0.33095,                0.16579,                 1.6722,                 2.2395,                 2.0106,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.8191,                 1.9972,                 1.8161,                0.49432,                0.41185,                0.38181,                0.19696,                 1.6441,                 2.1245,                 1.9651,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.7952,                 1.9604,                 1.8036,                 0.4757,                0.43259,                0.38548,                0.21517,                 1.6185,                  2.054,                 1.9262,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.7834,                  1.931,                   1.79,                 0.5761,                    0.4,                0.42713,                0.24104,                 1.5728,                 2.0437,                 1.9066,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.7553,                 1.9093,                 1.7758,                0.44979,                0.39556,                0.36917,                 0.2129,                 1.5701,                 2.1556,                 1.8752,               0.001406,               0.001406,               0.001406
                     18,                 1.7511,                 1.8848,                 1.7834,                0.51158,                0.45037,                0.41857,                0.23314,                  1.547,                 2.0358,                 1.8675,              0.0013664,              0.0013664,              0.0013664
