                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6171,                 1.6241,                 1.6452,                0.46378,                 0.4637,                0.39537,                0.24813,                 1.3502,                  2.016,                 1.6263,               0.008911,               0.008911,               0.008911
                     36,                  1.612,                 1.6218,                 1.6395,                0.44673,                0.48889,                 0.4221,                0.26724,                 1.3585,                   1.98,                 1.6246,               0.008878,               0.008878,               0.008878
                     37,                 1.5909,                  1.608,                 1.6392,                 0.5376,                0.49606,                 0.4798,                 0.3041,                 1.3323,                 1.7977,                 1.6006,               0.008845,               0.008845,               0.008845
                     38,                 1.5939,                 1.6132,                 1.6242,                0.51363,                0.44593,                0.44615,                0.28466,                 1.3368,                 1.8454,                  1.622,               0.008812,               0.008812,               0.008812
                     39,                 1.5859,                 1.5967,                 1.6334,                0.47964,                0.45337,                0.42243,                0.27914,                 1.3363,                  1.902,                 1.6053,               0.008779,               0.008779,               0.008779
                     40,                  1.582,                 1.5824,                 1.6241,                0.47751,                0.45926,                0.44641,                0.29046,                 1.3404,                 1.8661,                 1.5995,               0.008746,               0.008746,               0.008746
                     41,                 1.5855,                 1.5754,                 1.6185,                0.49441,                0.48148,                0.44103,                 0.2802,                 1.3689,                 1.7813,                  1.619,               0.008713,               0.008713,               0.008713
                     42,                 1.5871,                 1.5707,                 1.6182,                0.47408,                 0.4563,                0.40552,                0.25779,                 1.3518,                 1.8611,                 1.6183,                0.00868,                0.00868,                0.00868
                     43,                 1.5663,                 1.5638,                 1.6137,                0.40921,                   0.48,                0.40251,                0.25936,                 1.3313,                 1.9292,                 1.5948,               0.008647,               0.008647,               0.008647
                     44,                 1.5698,                 1.5562,                 1.6073,                0.54029,                0.45333,                0.46405,                0.29767,                 1.3059,                 1.8309,                 1.5595,               0.008614,               0.008614,               0.008614
                     45,                 1.5833,                 1.5648,                 1.6159,                0.53118,                0.49481,                0.47856,                0.31615,                  1.308,                 1.7507,                 1.5829,               0.008581,               0.008581,               0.008581
                     46,                 1.5524,                 1.5367,                  1.593,                 0.5866,                0.47852,                0.49666,                0.31162,                 1.3451,                 1.7273,                 1.5971,               0.008548,               0.008548,               0.008548
                     47,                 1.5593,                 1.5327,                 1.6012,                0.57158,                0.45778,                0.48066,                0.31381,                  1.312,                 1.7109,                 1.5692,               0.008515,               0.008515,               0.008515
                     48,                 1.5705,                 1.5442,                 1.6017,                0.44694,                 0.4637,                0.41767,                0.26624,                 1.3178,                 1.9416,                 1.5768,               0.008482,               0.008482,               0.008482
